,perplexity_scores,correct,label
0,"[7.100387096405029, 22.466766357421875, 19.410175323486328, 23.723373413085938, 14.395818710327148, 18.063369750976562, 17.470924377441406, 24.827484130859375, 22.801504135131836, 31.793659210205078, 19.111927032470703]",True,pre2022
1,"[9.324814796447754, 14.087434768676758, 10.762722969055176, 18.911283493041992, 12.495051383972168, 16.20849609375, 11.208661079406738, 11.839427947998047, 10.581646919250488, 14.084206581115723, 12.410415649414062]",True,pre2022
2,"[12.626626968383789, 12.70047378540039, 14.132752418518066, 13.935056686401367, 13.01071834564209, 18.02874755859375, 23.487668991088867, 14.13837718963623, 12.086605072021484, 26.993404388427734, 11.576375961303711]",False,pre2022
3,"[12.443946838378906, 13.326582908630371, 8.918230056762695, 11.30645751953125, 9.801746368408203, 13.439359664916992, 12.367700576782227, 18.34430503845215, 13.57618522644043, 16.270084381103516, 15.795557022094727]",False,pre2022
4,"[19.073917388916016, 13.985698699951172, 19.43148422241211, 28.77800178527832, 20.93744468688965, 17.647308349609375, 16.300769805908203, 24.738645553588867, 16.755447387695312, 18.797822952270508, 12.357941627502441]",False,pre2022
5,"[2.202775001525879, 18.174528121948242, 7.724269866943359, 13.911677360534668, 9.08194637298584, 30.873804092407227, 9.731121063232422, 14.920856475830078, 8.263965606689453, 10.926142692565918, 11.114686012268066]",True,pre2022
6,"[8.923463821411133, 15.728361129760742, 10.534825325012207, 18.695520401000977, 10.254096031188965, 11.457938194274902, 9.89140796661377, 13.109886169433594, 9.377010345458984, 18.003950119018555, 12.755324363708496]",True,pre2022
7,"[14.59910774230957, 16.518110275268555, 17.526182174682617, 24.053659439086914, 12.052488327026367, 12.324421882629395, 12.00835132598877, 18.85479736328125, 15.127843856811523, 17.01486587524414, 10.788784980773926]",False,pre2022
8,"[11.8330078125, 22.36086654663086, 14.968987464904785, 24.03598403930664, 16.70937156677246, 14.021439552307129, 13.475481033325195, 14.701929092407227, 13.986912727355957, 11.629584312438965, 9.895666122436523]",False,pre2022
9,"[5.659681797027588, 10.007408142089844, 22.166561126708984, 25.1784725189209, 17.805917739868164, 19.51898193359375, 20.609779357910156, 19.241168975830078, 16.643310546875, 31.380563735961914, 24.777315139770508]",True,pre2022
10,"[14.720564842224121, 19.184661865234375, 18.20115852355957, 21.628143310546875, 17.474014282226562, 20.097660064697266, 43.26115417480469, 22.757068634033203, 13.388723373413086, 24.19800567626953, 18.62884521484375]",False,pre2022
11,"[16.474136352539062, 15.903911590576172, 19.1187686920166, 21.509675979614258, 16.114471435546875, 16.617633819580078, 13.71058464050293, 16.325420379638672, 15.927912712097168, 33.95634460449219, 11.453612327575684]",False,pre2022
