,perplexity_scores,correct,label
0,"[18.300546646118164, 27.67442512512207, 20.41936683654785, 24.565746307373047, 16.436473846435547, 21.167709350585938, 19.653581619262695, 32.16913986206055, 26.691194534301758, 34.42366409301758, 21.17457389831543]",False,pre2022
1,"[10.683401107788086, 15.356283187866211, 11.016884803771973, 21.702829360961914, 14.257479667663574, 16.753921508789062, 11.926676750183105, 12.525136947631836, 12.015336990356445, 14.277756690979004, 12.152607917785645]",True,pre2022
2,"[13.712506294250488, 13.679011344909668, 15.220314025878906, 14.789115905761719, 13.332618713378906, 18.648433685302734, 23.98067855834961, 14.383458137512207, 12.543785095214844, 26.950698852539062, 11.37759017944336]",False,pre2022
3,"[12.869799613952637, 13.849038124084473, 8.774370193481445, 12.640799522399902, 9.910243034362793, 13.988256454467773, 12.234307289123535, 19.543214797973633, 14.58530330657959, 16.676942825317383, 16.18868064880371]",False,pre2022
4,"[19.915760040283203, 15.547391891479492, 18.995710372924805, 32.557029724121094, 21.298673629760742, 19.45455551147461, 17.43802261352539, 25.22621726989746, 16.144163131713867, 20.242115020751953, 13.367900848388672]",False,pre2022
5,"[3.2198894023895264, 19.162965774536133, 10.272002220153809, 13.868969917297363, 11.897966384887695, 31.75320816040039, 11.981569290161133, 16.61795425415039, 12.095807075500488, 12.482123374938965, 12.198529243469238]",True,pre2022
6,"[9.950774192810059, 18.283830642700195, 10.952696800231934, 18.734861373901367, 11.353175163269043, 12.359798431396484, 10.286643981933594, 12.98447036743164, 10.085823059082031, 19.51457405090332, 12.820798873901367]",True,pre2022
7,"[15.727400779724121, 15.513005256652832, 16.845375061035156, 22.379838943481445, 12.023707389831543, 12.663722038269043, 12.470308303833008, 20.851816177368164, 16.08515167236328, 16.423694610595703, 11.39323616027832]",False,pre2022
8,"[12.161999702453613, 22.789352416992188, 16.825679779052734, 23.77747917175293, 17.148223876953125, 14.85347843170166, 14.63171672821045, 14.650300979614258, 15.42736530303955, 12.253792762756348, 10.437589645385742]",False,pre2022
9,"[8.226211547851562, 10.696523666381836, 17.96226692199707, 28.393600463867188, 15.247671127319336, 17.663965225219727, 20.359621047973633, 17.120849609375, 13.772754669189453, 33.514713287353516, 20.198575973510742]",True,pre2022
10,"[14.922670364379883, 20.463985443115234, 17.690311431884766, 23.751358032226562, 17.22145652770996, 21.561935424804688, 35.2150764465332, 21.935501098632812, 15.341093063354492, 25.863534927368164, 17.860153198242188]",True,pre2022
11,"[17.501745223999023, 16.000049591064453, 19.217741012573242, 23.30465316772461, 17.300806045532227, 16.857433319091797, 14.370494842529297, 17.484533309936523, 15.891592979431152, 39.048099517822266, 11.694655418395996]",False,pre2022
12,"[15.28460693359375, 18.155242919921875, 17.153749465942383, 17.39310073852539, 19.215639114379883, 22.29327964782715, 16.649736404418945, 17.247840881347656, 14.823779106140137, 20.808801651000977, 13.613407135009766]",False,pre2022
13,"[13.463242530822754, 16.779193878173828, 16.151626586914062, 19.644033432006836, 10.065946578979492, 16.687538146972656, 11.651998519897461, 16.154165267944336, 13.507708549499512, 52.32756805419922, 12.260930061340332]",False,pre2022
14,"[17.32029914855957, 18.31809425354004, 17.31643295288086, 10.805468559265137, 24.038305282592773, 13.705404281616211, 14.846539497375488, 13.498854637145996, 14.89410400390625, 27.955337524414062, 9.68935489654541]",False,pre2022
15,"[8.370221138000488, 18.074453353881836, 12.035451889038086, 13.490541458129883, 12.951953887939453, 13.818220138549805, 16.23788833618164, 14.00876235961914, 11.7754487991333, 21.691287994384766, 13.07263469696045]",True,pre2022
16,"[1.7208812236785889, 10.102599143981934, 12.47616958618164, 19.17146110534668, 303.72381591796875, 18.754167556762695, 13.493793487548828, 14.429656028747559, 10.51764965057373, 20.102519989013672, 10.63327407836914]",True,pre2022
17,"[13.724679946899414, 12.939437866210938, 18.22949981689453, 16.634531021118164, 13.747238159179688, 15.18641471862793, 16.832014083862305, 18.369443893432617, 16.67686653137207, 27.90997886657715, 11.161358833312988]",False,pre2022
18,"[13.531012535095215, 12.809298515319824, 23.249040603637695, 17.699787139892578, 12.445082664489746, 15.430495262145996, 15.088142395019531, 18.856719970703125, 15.736200332641602, 34.4283561706543, 11.428884506225586]",False,pre2022
19,"[10.607873916625977, 11.05768871307373, 11.874252319335938, 13.664554595947266, 10.505807876586914, 13.114200592041016, 11.61013412475586, 17.67876625061035, 11.196871757507324, 23.238798141479492, 10.864765167236328]",False,pre2022
20,"[16.906816482543945, 22.426692962646484, 21.179658889770508, 22.870622634887695, 18.061336517333984, 24.134868621826172, 21.829362869262695, 24.730920791625977, 18.093873977661133, 25.17961311340332, 10.637121200561523]",False,pre2022
21,"[12.915061950683594, 23.139745712280273, 18.441287994384766, 27.6290225982666, 19.262893676757812, 22.39556884765625, 18.36272621154785, 19.30478286743164, 15.841915130615234, 24.301536560058594, 16.654346466064453]",True,pre2022
22,"[22.79134178161621, 20.367822647094727, 13.116145133972168, 25.775850296020508, 17.005958557128906, 21.53444480895996, 23.605871200561523, 24.972806930541992, 17.364784240722656, 31.04603385925293, 13.754036903381348]",False,pre2022
23,"[26.417644500732422, 22.916330337524414, 27.970964431762695, 18.025264739990234, 21.113872528076172, 23.78151512145996, 25.896442413330078, 26.251855850219727, 23.013916015625, 45.865386962890625, 19.980178833007812]",False,pre2022
24,"[10.81163501739502, 13.818028450012207, 14.95333480834961, 25.252429962158203, 14.985424041748047, 18.500606536865234, 13.641674041748047, 17.957380294799805, 13.715096473693848, 23.911067962646484, 17.83296012878418]",True,pre2022
