,perplexity_scores,correct,label
0,"[20.107481002807617, 27.450199127197266, 22.332529067993164, 25.511232376098633, 16.913475036621094, 18.745344161987305, 22.565805435180664, 29.938209533691406, 29.097505569458008, 38.46446228027344, 22.60757827758789]",False,pre2022
1,"[11.450630187988281, 16.43451499938965, 12.482854843139648, 25.922929763793945, 15.166167259216309, 20.840736389160156, 14.939355850219727, 14.8515625, 13.699020385742188, 16.47781753540039, 16.557113647460938]",True,pre2022
2,"[15.719840049743652, 14.154742240905762, 15.998367309570312, 17.54189109802246, 16.156999588012695, 20.165447235107422, 22.87985610961914, 15.560842514038086, 16.23383140563965, 31.267963409423828, 13.898214340209961]",False,pre2022
3,"[12.228766441345215, 17.312652587890625, 10.132999420166016, 12.759299278259277, 12.287771224975586, 15.111759185791016, 14.103622436523438, 20.822450637817383, 16.128374099731445, 20.138763427734375, 19.480579376220703]",False,pre2022
4,"[20.226266860961914, 15.928414344787598, 22.9867000579834, 38.455421447753906, 19.659088134765625, 20.90614891052246, 19.338232040405273, 27.148622512817383, 16.90584373474121, 21.44601058959961, 15.341400146484375]",False,pre2022
5,"[3.4202537536621094, 25.096118927001953, 8.610079765319824, 15.004171371459961, 13.057633399963379, 32.096649169921875, 12.989774703979492, 14.882759094238281, 11.805727005004883, 15.029605865478516, 12.47210693359375]",True,pre2022
6,"[9.82108211517334, 17.108970642089844, 10.945110321044922, 20.667118072509766, 12.075956344604492, 12.657533645629883, 11.486241340637207, 14.31201171875, 10.657156944274902, 22.079246520996094, 14.242265701293945]",True,pre2022
7,"[15.796904563903809, 18.520687103271484, 20.284812927246094, 24.00733184814453, 14.192843437194824, 12.18867015838623, 14.709141731262207, 24.92356300354004, 15.82663345336914, 19.47124671936035, 13.276305198669434]",False,pre2022
8,"[12.797103881835938, 25.541887283325195, 16.8187198638916, 26.06104850769043, 16.508493423461914, 14.523103713989258, 15.766074180603027, 15.281845092773438, 16.07007598876953, 12.832172393798828, 10.144969940185547]",False,pre2022
9,"[11.634279251098633, 10.146595001220703, 20.769906997680664, 29.38676643371582, 17.860750198364258, 20.235740661621094, 20.449474334716797, 19.647550582885742, 15.599284172058105, 38.14220428466797, 21.454700469970703]",False,pre2022
10,"[17.734466552734375, 25.271623611450195, 19.411470413208008, 23.962717056274414, 19.11772918701172, 19.347427368164062, 45.49815368652344, 26.202800750732422, 15.922464370727539, 28.318050384521484, 19.185251235961914]",False,pre2022
11,"[19.39311981201172, 16.289934158325195, 21.53641128540039, 25.64176368713379, 17.257823944091797, 16.864744186401367, 13.728814125061035, 22.754301071166992, 19.81903076171875, 42.01009750366211, 11.150712013244629]",False,pre2022
12,"[14.661458015441895, 20.12344741821289, 21.66204261779785, 23.934463500976562, 24.92349624633789, 24.265079498291016, 19.033327102661133, 20.322696685791016, 20.228412628173828, 23.919050216674805, 13.73210334777832]",False,pre2022
13,"[18.97365379333496, 23.166479110717773, 18.20556640625, 24.286779403686523, 12.787033081054688, 16.932035446166992, 15.224679946899414, 19.217802047729492, 16.911540985107422, 45.8548469543457, 12.619500160217285]",False,pre2022
14,"[19.611286163330078, 25.166187286376953, 19.770156860351562, 12.584407806396484, 26.132644653320312, 16.962318420410156, 21.051624298095703, 17.368656158447266, 18.859203338623047, 32.807804107666016, 11.053945541381836]",False,pre2022
15,"[9.284374237060547, 19.55426025390625, 15.30611515045166, 14.840497970581055, 15.419382095336914, 15.747016906738281, 17.846878051757812, 15.750414848327637, 13.277122497558594, 23.510601043701172, 13.416661262512207]",True,pre2022
16,"[1.2315881252288818, 10.23657512664795, 12.683165550231934, 22.665428161621094, 475.9411315917969, 20.581632614135742, 10.626449584960938, 14.058629035949707, 12.524367332458496, 19.261686325073242, 11.959966659545898]",True,pre2022
17,"[18.503244400024414, 15.340375900268555, 24.71752166748047, 18.529069900512695, 15.494227409362793, 16.89076042175293, 16.69300079345703, 21.91297721862793, 18.087942123413086, 43.30893325805664, 9.961752891540527]",False,pre2022
18,"[13.324918746948242, 16.444692611694336, 27.98914909362793, 20.217308044433594, 13.468214988708496, 16.930057525634766, 15.16618537902832, 18.46503257751465, 15.702271461486816, 33.95089340209961, 12.342974662780762]",False,pre2022
19,"[11.071585655212402, 12.381780624389648, 13.712640762329102, 17.370031356811523, 12.242419242858887, 16.06332778930664, 14.816630363464355, 20.874069213867188, 12.497655868530273, 35.35261917114258, 13.015077590942383]",True,pre2022
20,"[18.35150146484375, 24.99307632446289, 24.858016967773438, 22.375537872314453, 20.92608642578125, 27.09770393371582, 22.10175132751465, 27.81056785583496, 19.809255599975586, 27.219907760620117, 11.875483512878418]",False,pre2022
21,"[15.445817947387695, 28.126497268676758, 23.493762969970703, 28.413597106933594, 22.23578453063965, 25.244897842407227, 22.748579025268555, 22.868032455444336, 18.834623336791992, 24.448945999145508, 16.839235305786133]",True,pre2022
22,"[22.04937171936035, 19.485424041748047, 13.50096607208252, 27.19525909423828, 17.10736846923828, 19.53406524658203, 22.886791229248047, 28.129314422607422, 18.63378143310547, 30.99137306213379, 15.22159481048584]",False,pre2022
23,"[38.525917053222656, 28.11513328552246, 31.797489166259766, 19.829011917114258, 28.3026065826416, 30.097936630249023, 29.77875518798828, 27.737701416015625, 30.882837295532227, 60.71073913574219, 21.543806076049805]",False,pre2022
24,"[11.839137077331543, 15.397971153259277, 19.663179397583008, 28.060148239135742, 15.469441413879395, 21.574329376220703, 15.659420013427734, 19.315893173217773, 14.403739929199219, 30.76722526550293, 18.896799087524414]",True,pre2022
25,"[27.251544952392578, 26.280105590820312, 29.283199310302734, 20.213125228881836, 22.253950119018555, 37.405494689941406, 21.508974075317383, 26.770322799682617, 20.989805221557617, 34.18511199951172, 18.670183181762695]",False,pre2022
26,"[11.268125534057617, 18.188825607299805, 17.128936767578125, 20.51701545715332, 14.87282657623291, 25.461551666259766, 17.08671760559082, 16.500638961791992, 17.203014373779297, 13.613640785217285, 11.054736137390137]",False,pre2022
27,"[13.448542594909668, 27.611886978149414, 17.50274658203125, 16.636014938354492, 16.147022247314453, 18.706233978271484, 14.729032516479492, 17.619464874267578, 14.252931594848633, 34.19189453125, 16.725908279418945]",True,pre2022
28,"[14.376104354858398, 23.413280487060547, 23.937990188598633, 28.877077102661133, 19.67104721069336, 17.70920753479004, 14.466952323913574, 24.683765411376953, 16.21392250061035, 35.255123138427734, 17.49261474609375]",True,pre2022
